| lambda |  Flux   |  F_Er   |F_Norm_Er|
| double | double  | double  | double  |
| micron |   Jy    |   Jy    |    Jy   |
  2.42575   6.14000   0.05000   0.05000 
  2.42600   6.12000   0.05000   0.05000 
  2.42625   6.10000   0.05000   0.05000 
  2.42650   6.09000   0.05000   0.05000 
  2.42675   6.07000   0.05000   0.05000 
  2.42700   6.06000   0.05000   0.05000 
  2.42725   6.05000   0.05000   0.05000 
  2.42750   6.04000   0.05000   0.05000 
  2.42775   6.03000   0.05000   0.05000 
  2.42800   6.03000   0.05000   0.05000 
  2.42825   6.03000   0.05000   0.05000 
  2.42850   6.02000   0.05000   0.05000 
  2.42875   6.02000   0.05000   0.05000 
  2.42900   6.02000   0.05000   0.05000 
  2.42925   6.03000   0.05000   0.05000 
  2.42950   6.03000   0.05000   0.05000 
  2.42975   6.04000   0.05000   0.05000 
  2.43000   6.05000   0.05000   0.05000 
  2.43025   6.07000   0.05000   0.05000 
  2.43050   6.08000   0.05000   0.05000 
  2.43075   6.10000   0.05000   0.05000 
  2.43100   6.12000   0.05000   0.05000 
  2.43125   6.13000   0.05000   0.05000 
  2.43150   6.15000   0.05000   0.05000 
  2.43175   6.16000   0.05000   0.05000 
  2.43200   6.17000   0.05000   0.05000 
  2.43225   6.18000   0.05000   0.05000 
  2.43250   6.19000   0.05000   0.05000 
  2.43275   6.19000   0.05000   0.05000 
  2.43300   6.19000   0.05000   0.05000 
  2.43325   6.19000   0.05000   0.05000 
  2.43350   6.19000   0.05000   0.05000 
  2.43375   6.19000   0.05000   0.05000 
  2.43400   6.20000   0.05000   0.05000 
  2.43425   6.20000   0.05000   0.05000 
  2.43450   6.20000   0.05000   0.05000 
  2.43475   6.21000   0.05000   0.05000 
  2.43500   6.21000   0.05000   0.05000 
  2.43525   6.22000   0.05000   0.05000 
  2.43550   6.23000   0.05000   0.05000 
  2.43575   6.23000   0.05000   0.05000 
  2.43600   6.23000   0.05000   0.05000 
  2.43625   6.24000   0.05000   0.05000 
  2.43650   6.24000   0.05000   0.05000 
  2.43675   6.23000   0.05000   0.05000 
  2.43700   6.23000   0.05000   0.05000 
  2.43725   6.22000   0.05000   0.05000 
  2.43750   6.21000   0.05000   0.05000 
  2.43775   6.19000   0.05000   0.05000 
  2.43800   6.18000   0.05000   0.05000 
  2.43825   6.17000   0.05000   0.05000 
  2.43850   6.16000   0.05000   0.05000 
  2.43875   6.16000   0.05000   0.05000 
  2.43900   6.15000   0.05000   0.05000 
  2.43925   6.15000   0.05000   0.05000 
  2.43950   6.16000   0.05000   0.05000 
  2.43975   6.16000   0.05000   0.05000 
  2.44000   6.17000   0.05000   0.05000 
  2.44025   6.17000   0.05000   0.05000 
  2.44050   6.18000   0.05000   0.05000 
  2.44075   6.19000   0.05000   0.05000 
  2.44100   6.19000   0.04000   0.04000 
  2.44125   6.19000   0.04000   0.04000 
  2.44150   6.20000   0.04000   0.04000 
  2.44175   6.20000   0.04000   0.04000 
  2.44200   6.21000   0.04000   0.04000 
  2.44225   6.22000   0.04000   0.04000 
  2.44250   6.23000   0.04000   0.04000 
  2.44275   6.24000   0.04000   0.04000 
  2.44300   6.25000   0.04000   0.04000 
  2.44325   6.27000   0.04000   0.04000 
  2.44350   6.28000   0.04000   0.04000 
  2.44375   6.30000   0.04000   0.04000 
  2.44400   6.31000   0.04000   0.04000 
  2.44425   6.32000   0.04000   0.04000 
  2.44450   6.33000   0.04000   0.04000 
  2.44475   6.33000   0.04000   0.04000 
  2.44500   6.33000   0.04000   0.04000 
  2.44525   6.32000   0.04000   0.04000 
  2.44550   6.31000   0.04000   0.04000 
  2.44575   6.30000   0.04000   0.04000 
  2.44600   6.29000   0.04000   0.04000 
  2.44625   6.28000   0.04000   0.04000 
  2.44650   6.28000   0.04000   0.04000 
  2.44675   6.27000   0.04000   0.04000 
  2.44700   6.27000   0.04000   0.04000 
  2.44725   6.28000   0.04000   0.04000 
  2.44750   6.29000   0.04000   0.04000 
  2.44775   6.30000   0.04000   0.04000 
  2.44800   6.31000   0.04000   0.04000 
  2.44825   6.32000   0.04000   0.04000 
  2.44850   6.32000   0.04000   0.04000 
  2.44875   6.33000   0.04000   0.04000 
  2.44900   6.33000   0.04000   0.04000 
  2.44925   6.33000   0.04000   0.04000 
  2.44950   6.33000   0.04000   0.04000 
  2.44975   6.33000   0.04000   0.04000 
  2.45000   6.33000   0.04000   0.04000 
  2.45025   6.32000   0.04000   0.04000 
  2.45050   6.32000   0.04000   0.04000 
  2.45075   6.33000   0.04000   0.04000 
  2.45100   6.33000   0.04000   0.04000 
  2.45125   6.34000   0.04000   0.04000 
  2.45150   6.36000   0.04000   0.04000 
  2.45175   6.37000   0.04000   0.04000 
  2.45200   6.39000   0.04000   0.04000 
  2.45225   6.41000   0.04000   0.04000 
  2.45250   6.43000   0.04000   0.04000 
  2.45275   6.45000   0.04000   0.04000 
  2.45300   6.46000   0.04000   0.04000 
  2.45325   6.47000   0.04000   0.04000 
  2.45350   6.47000   0.04000   0.04000 
  2.45375   6.46000   0.04000   0.04000 
  2.45400   6.46000   0.04000   0.04000 
  2.45425   6.44000   0.04000   0.04000 
  2.45450   6.42000   0.04000   0.04000 
  2.45475   6.40000   0.04000   0.04000 
  2.45500   6.38000   0.04000   0.04000 
  2.45525   6.36000   0.04000   0.04000 
  2.45550   6.35000   0.04000   0.04000 
  2.45575   6.33000   0.04000   0.04000 
  2.45600   6.32000   0.04000   0.04000 
  2.45625   6.32000   0.04000   0.04000 
  2.45650   6.31000   0.04000   0.04000 
  2.45675   6.31000   0.04000   0.04000 
  2.45700   6.31000   0.04000   0.04000 
  2.45725   6.31000   0.04000   0.04000 
  2.45750   6.31000   0.04000   0.04000 
  2.45775   6.31000   0.04000   0.04000 
  2.45800   6.31000   0.04000   0.04000 
  2.45825   6.32000   0.04000   0.04000 
  2.45850   6.32000   0.04000   0.04000 
  2.45875   6.33000   0.04000   0.04000 
  2.45900   6.33000   0.04000   0.04000 
  2.45925   6.34000   0.04000   0.04000 
  2.45950   6.35000   0.04000   0.04000 
  2.45975   6.36000   0.04000   0.04000 
  2.46000   6.37000   0.04000   0.04000 
  2.46025   6.37000   0.04000   0.04000 
  2.46050   6.37000   0.04000   0.04000 
  2.46075   6.37000   0.04000   0.04000 
  2.46100   6.37000   0.04000   0.04000 
  2.46125   6.37000   0.04000   0.04000 
  2.46150   6.36000   0.04000   0.04000 
